name,line,lat,lon,type
Chilonzor dahasi 24-mavze,,41.2821699,69.1812994,bus
Журжоний,,41.2988165,69.173802,bus
Лицей,,41.3406687,69.3737714,bus
Площадь Джами,,41.3546321,69.2530415,bus
Diadora do'koni,,41.3588433,69.3867653,bus
П.О. Оникс,,41.3561156,69.248161,bus
Masjid bekati,,41.3511185,69.2924637,bus
Feruza dahasi,,41.3618051,69.3672988,bus
Novza metro bekati,,41.2913734,69.2242194,bus
173-sonli maktab,,41.2935536,69.2207922,bus
Fidoyilar hiyoboni,,41.3007381,69.2758831,bus
Mirzo Ulug'bek shox ko'chasi,,41.3058297,69.3060457,bus
Ashxobod Park,,41.3054188,69.305971,bus
Elektroapparat,,41.2790381,69.3066756,bus
"Гостиница ""Россия""",,41.2946387,69.2669865,bus
Oybek metrosi,,41.2981656,69.2722859,bus
Айбек метро,,41.29934,69.2728681,bus
A. Navoiy jamoa xo'jaligi,,41.2395894,69.2147203,bus
Avliyo-Ota ko'chasi,,41.2884275,69.2818766,bus
Aliyev ko'chasi,,41.2768531,69.2738742,bus
Uspenskiy Nomidagi Maktab,,41.3075253,69.2929981,bus
Bozor,,41.2950696,69.3355251,bus
,,41.2991122,69.3420428,bus
,,41.2955681,69.3413643,bus
Ташсельмаш,,41.2990683,69.3054677,bus
,,41.2936769,69.3220281,bus
Toʻqimachilik kombinati,,41.2740823,69.2451163,bus
Юнусобод ҳокимияти-1,,41.3282298,69.2834816,bus
Teplovoz deposi,,41.2914294,69.2994338,bus
Бинокор,,41.179027,69.2471741,bus
Olimpiya savdo markazi,,41.252603,69.3083289,bus
Olimpiya savdo markazi,,41.2524602,69.3084921,bus
Остановка,,41.3209366,69.3626787,bus
Politologiya instituti,,41.3245727,69.3244131,bus
,,41.2819307,69.3501802,bus
Geofiziklar qorgoni,,41.340918,69.3896228,bus
Tantana ko'chasi,,41.3555267,69.3766101,bus
,,41.3502291,69.334823,bus
153-sonli dorixona,,41.2615987,69.1635101,bus
"Махалля ""Дилбулак""",,41.2685386,69.2459215,bus
Mirobod bozori,,41.2909599,69.2766125,bus
Kichik Beshyogʻoch koʻchasi,,41.2776503,69.2722632,bus
Kichik Beshyogʻoch koʻchasi,,41.2780752,69.2728888,bus
Boshliq dahasi,,41.2682333,69.2519269,bus
Boshliq dahasi,,41.2684247,69.2526824,bus
83-sonli maktab,,41.2825617,69.2769492,bus
83-sonli maktab,,41.2822962,69.2764451,bus
Oloy bozori,,41.319465,69.2818573,bus
Табассум магазин,,41.3553417,69.2225841,bus
Shofayziy ko'chasi,,41.3190764,69.1964979,bus
12-sonli mavze,,41.3544293,69.3735178,bus
Janubiy vokzal,,41.2595845,69.2236289,bus
Bogʻiboʻston koʻchasi,,41.2628482,69.2229124,bus
Aviasozlar bozori,,41.285926,69.3457564,bus
Aviasozlar bozori,,41.2864597,69.3472316,bus
Aviasozlar bozori,,41.2866044,69.3459853,bus
Aviasozlar bozori,,41.2854898,69.3472689,bus
Temiryo'chilar kolleji,,41.2802574,69.2769361,bus
,,41.1854514,69.2599878,bus
,,41.1854339,69.2601663,bus
Школа 166,,41.2945481,69.3440442,bus
,,41.2940314,69.3461934,bus
,,41.2951673,69.3415538,bus
Dunyo supermarketi,,41.3131758,69.2867962,bus
Dunyo supermarketi,,41.3132774,69.2865315,bus
Bozor,,41.2488249,69.3015965,bus
Юнусобод тумани хокимияти,,41.3278443,69.2826478,bus
,,41.2397041,69.3341019,bus
Кушбеги,,41.2660485,69.2455357,bus
,,41.2703475,69.174771,bus
,,41.2655969,69.1861187,bus
,,41.2676942,69.1825314,bus
Зоопарк;Ботанический сад,,41.3448271,69.3092745,bus
Зоопарк;Ботанический сад,,41.3445221,69.3092956,bus
Moskva kafesi,,41.2791581,69.1774844,bus
,,41.2679883,69.1817332,bus
217-sonli maktab,,41.2684442,69.1726591,bus
Районное ГАИ,,41.344477,69.3859812,bus
Gastronom,,41.3521732,69.3878511,bus
Ahmad Yugnaki mavzesi,,41.3446633,69.3814432,bus
Chilonzor dahasi 11-mavze,,41.2803618,69.1953879,bus
,,41.2755387,69.1936997,bus
Al-Xorazmiy maydoni,,41.2750816,69.193006,bus
,,41.274029,69.1884813,bus
Shuhrat do'koni,,41.2794011,69.197223,bus
Торговый комплекс,,41.3635253,69.2146107,bus
