card_id,area,number_rooms,furniture,condition,date
36MxT,64.0,3,1,Евроремонт,2025-12-05
4edAz,48.0,2,1,,2025-12-05
3zQ8U,85.0,3,1,Евроремонт,2025-12-05
4dZ5j,47.0,2,1,Евроремонт,2025-12-05
44pKv,60.0,2,1,,2025-12-05
3PPEa,55.0,2,1,Авторский проект,2025-12-05
3DoXP,50.0,2,1,Евроремонт,2025-12-05
3awHN,55.0,2,1,Авторский проект,2025-12-05
3Ezfh,56.0,2,1,Евроремонт,2025-12-05
3DUbI,71.0,2,1,Евроремонт,2025-12-05
3ZN08,100.0,2,1,Евроремонт,2025-12-05
4dFCq,83.0,3,1,Евроремонт,2025-12-03
4a2no,75.0,3,1,Авторский проект,2025-12-03
4egQ3,60.0,2,1,Евроремонт,2025-12-05
3dvft,60.0,2,1,Евроремонт,2025-12-05
3aYeM,90.0,3,1,Евроремонт,2025-12-05
372Pa,75.0,3,1,Евроремонт,2025-12-05
3EfOA,2.0,2,1,Евроремонт,2025-12-05
45cuB,55.0,2,1,Евроремонт,2025-12-05
4dZ2C,60.0,2,1,Средний,2025-12-05
4e2Kb,50.0,2,1,,2025-12-05
42GLi,51.0,2,1,,2025-12-05
4ak1t,130.0,4,1,Евроремонт,2025-12-05
4enCs,60.0,2,1,Евроремонт,2025-12-05
40Olt,50.0,2,1,,2025-12-03
43oCV,50.0,2,1,,2025-12-03
4d6G6,82.0,4,1,Авторский проект,2025-12-03
4dAoN,100.0,4,1,Евроремонт,2025-12-05
42b3i,51.0,2,1,,2025-12-05
4dcwR,64.0,2,1,Евроремонт,2025-12-05
4ebHV,54.0,2,1,Авторский проект,2025-12-05
4ek7t,50.0,2,1,Авторский проект,2025-12-05
4edbg,60.0,2,1,Средний,2025-12-05
4dYXY,67.0,2,1,Средний,2025-12-05
4dxcs,110.0,4,1,Авторский проект,2025-12-05
4dyjD,60.0,2,1,Авторский проект,2025-12-05
4enva,60.0,2,1,Евроремонт,2025-12-05
4e9LD,107.0,3,1,Евроремонт,2025-12-05
4e2DD,94.0,2,1,Евроремонт,2025-12-04
4e0ho,57.0,2,1,Евроремонт,2025-12-02
4dykX,62.0,2,1,Евроремонт,2025-12-05
4dAif,27.0,1,1,Евроремонт,2025-12-05
4dYSS,75.0,2,1,Евроремонт,2025-12-05
1HuPJ,70.0,2,1,,2025-12-05
4aVKU,60.0,2,1,Евроремонт,2025-12-05
49CQp,46.0,2,1,Евроремонт,2025-12-05
31JbG,85.0,3,1,Евроремонт,2025-12-05
49COE,46.0,1,1,Авторский проект,2025-12-05
Zp02,100.0,3,1,Авторский проект,2025-12-05
36T6N,110.0,3,1,Авторский проект,2025-12-05
3HZPW,96.0,4,1,Евроремонт,2025-12-03
3zSqH,200.0,5,1,Авторский проект,2025-12-05
4ef8j,65.0,2,1,Евроремонт,2025-12-03
11Zms,120.0,4,1,Евроремонт,2025-12-05
3wvWu,92.0,4,1,Авторский проект,2025-12-05
3zbGb,53.0,2,1,Евроремонт,2025-12-05
2XuFI,65.0,2,1,Евроремонт,2025-12-05
4dYPC,53.0,2,1,,2025-12-05
4enr2,72.0,3,1,Евроремонт,2025-12-05
2HaQ2,67.0,3,1,Евроремонт,2025-12-05
4cvVi,67.0,3,1,,2025-12-05
1UBat,95.0,3,1,Евроремонт,2025-12-05
21DV7,100.0,3,1,Авторский проект,2025-12-05
4a1v1,53.0,2,1,Евроремонт,2025-12-01
4efed,50.0,2,1,Евроремонт,2025-12-03
4dHkc,45.0,1,1,Евроремонт,2025-12-05
3iByU,130.0,3,1,Евроремонт,2025-12-05
4enkK,46.0,2,1,Средний,2025-12-05
2HkYl,60.0,2,1,Авторский проект,2025-12-05
4enhC,50.0,2,1,Средний,2025-12-05
3Em4u,62.0,2,1,Евроремонт,2025-12-05
4bTst,65.0,3,1,Средний,2025-12-05
4dYLV,18.0,1,1,Средний,2025-12-05
3E3Hq,80.0,2,1,Евроремонт,2025-12-05
3CSFS,60.0,2,1,Авторский проект,2025-12-05
4ennC,58.0,1,1,Евроремонт,2025-12-05
3pxzp,60.0,2,1,Авторский проект,2025-12-03
49JtA,58.0,2,1,Евроремонт,2025-12-05
3S6eP,106.0,3,1,,2025-12-04
3Dj8M,55.0,2,1,Евроремонт,2025-12-05
4enbH,25.0,1,1,Евроремонт,2025-12-05
4enef,56.0,3,1,Евроремонт,2025-12-05
4dA9q,58.0,2,1,,2025-12-05
4dYJk,65.0,3,1,Авторский проект,2025-12-05
4en8P,80.0,3,1,,2025-12-05
49ija,100.0,3,1,Авторский проект,2025-12-05
4enj6,90.0,4,1,,2025-12-05
2APhK,60.0,4,1,Авторский проект,2025-12-05
22O1z,77.0,2,1,Евроремонт,2025-12-05
4dpRs,50.0,2,1,Евроремонт,2025-12-04
455v5,68.0,2,1,Авторский проект,2025-12-05
4e6L3,105.0,4,1,Средний,2025-11-30
2coCc,220.0,3,1,,2025-12-05
4en4D,60.0,2,1,,2025-12-05
4emZ0,50.0,2,1,Средний,2025-12-05
4dA6H,50.0,2,1,Евроремонт,2025-12-05
4dA6x,63.0,2,1,,2025-12-05
4emUC,250.0,1,1,Евроремонт,2025-12-05
4enfo,155.0,6,1,Евроремонт,2025-12-05
4enhZ,35.0,1,1,,2025-12-05
4emPK,60.0,2,1,,2025-12-05
4enhO,35.0,2,1,Евроремонт,2025-12-05
4dRo5,67.0,2,1,Евроремонт,2025-12-05
4bRti,80.0,3,1,Евроремонт,2025-12-05
43pN2,60.0,2,1,Авторский проект,2025-12-04
3EMLS,110.0,3,1,Авторский проект,2025-12-05
3qhKs,65.0,2,1,Авторский проект,2025-12-05
49JtA,58.0,2,1,Евроремонт,2025-12-05
4dYDm,50.0,2,1,Евроремонт,2025-12-05
4dYCM,120.0,4,1,Евроремонт,2025-12-05
4dHkc,45.0,1,1,Евроремонт,2025-12-05
49SEj,25.0,2,1,Средний,2025-12-05
4encv,60.0,2,0,Средний,2025-12-05
4dc6W,55.0,2,0,,2025-12-05
4e1cg,80.0,4,1,Авторский проект,2025-11-29
42qMM,55.0,2,1,,2025-12-03
42nYa,60.0,2,1,Авторский проект,2025-12-04
4dYzI,56.0,2,1,Средний,2025-12-05
3wfbJ,65.0,3,1,Евроремонт,2025-12-05
2c1TU,50.0,2,1,Авторский проект,2025-12-05
2LbF4,150.0,3,1,Авторский проект,2025-12-05
4dc4D,68.0,3,1,,2025-12-05
44g57,50.0,2,1,Евроремонт,2025-12-05
44g2y,65.0,2,1,Авторский проект,2025-12-05
3VeTg,45.0,2,1,Авторский проект,2025-12-05
49Vze,30.0,1,0,Евроремонт,2025-12-05
1Desc,150.0,4,1,Авторский проект,2025-12-05
48kFk,70.0,2,1,Средний,2025-11-28
4daDu,40.0,1,1,Авторский проект,2025-12-04
3Vjyk,30.0,1,1,,2025-12-04
2M4J2,85.0,2,1,Евроремонт,2025-12-05
35h7a,75.0,2,1,Евроремонт,2025-12-05
4cB7x,48.0,2,1,Евроремонт,2025-12-05
1C5rV,100.0,3,1,,2025-12-05
1P2cP,74.0,3,1,Евроремонт,2025-12-05
2BMPD,97.0,3,1,Евроремонт,2025-12-05
1HMVB,120.0,3,1,,2025-12-05
4dc3f,65.0,3,1,Евроремонт,2025-12-05
3eDPO,64.0,2,1,Авторский проект,2025-12-05
3EZlv,150.0,3,1,Авторский проект,2025-12-05
3pV5m,103.0,3,1,Авторский проект,2025-12-03
4bNeY,67.0,2,1,Авторский проект,2025-12-04
3XaFQ,125.0,3,1,Авторский проект,2025-12-05
4en7k,30.0,1,1,Евроремонт,2025-12-05
4en6Y,59.0,2,1,Авторский проект,2025-12-05
4efWr,40.0,2,1,Авторский проект,2025-12-05
4cjwx,55.0,2,1,Евроремонт,2025-12-05
3TMsz,51.0,3,1,Евроремонт,2025-12-05
3YMyr,60.0,2,1,Евроремонт,2025-12-05
3TP3G,52.0,2,1,Евроремонт,2025-12-05
3TDyc,55.0,2,1,Евроремонт,2025-12-05
3W8Ag,55.0,2,1,Евроремонт,2025-12-05
3TMWX,55.0,2,1,Евроремонт,2025-12-05
3Sjnx,50.0,2,1,Авторский проект,2025-12-03
4egZw,40.0,1,1,Евроремонт,2025-12-05
49ija,100.0,3,1,Авторский проект,2025-12-05
3ZOjG,70.0,3,1,Евроремонт,2025-12-05
3YTxU,55.0,2,1,Евроремонт,2025-12-05
3VUWZ,50.0,2,1,Евроремонт,2025-12-05
3Q4KB,45.0,1,1,Евроремонт,2025-12-05
3THeg,65.0,3,1,Евроремонт,2025-12-05
3TsG5,60.0,2,1,Евроремонт,2025-12-05
3Th0D,55.0,2,1,Евроремонт,2025-12-05
4cjsb,52.0,2,1,Евроремонт,2025-12-05
3ZePG,55.0,2,1,Евроремонт,2025-12-05
3UYdu,54.0,2,1,Евроремонт,2025-12-05
46YYe,80.0,2,1,Евроремонт,2025-12-02
3RqyB,60.0,3,1,Евроремонт,2025-12-05
3MgcZ,45.0,2,1,Евроремонт,2025-12-05
4cjId,55.0,2,1,Евроремонт,2025-12-05
49Ifn,52.0,2,1,Евроремонт,2025-12-05
43eNl,55.0,2,1,Евроремонт,2025-12-05
3Op1I,35.0,1,1,Евроремонт,2025-12-05
3N5Ni,50.0,1,1,Евроремонт,2025-12-05
44xFm,58.0,2,1,Евроремонт,2025-12-05
3UudO,75.0,3,1,Евроремонт,2025-12-05
3UTI5,50.0,2,1,Евроремонт,2025-12-05
3i8NW,65.0,2,1,Авторский проект,2025-12-05
44myj,105.0,3,1,Авторский проект,2025-12-05
33zvC,85.0,2,1,Авторский проект,2025-12-05
4cgad,58.0,2,1,Авторский проект,2025-12-05
4dbXj,55.0,2,1,Евроремонт,2025-12-05
4cpcT,60.0,2,1,Евроремонт,2025-12-05
3shoo,80.0,4,1,Евроремонт,2025-12-05
383nC,61.0,2,1,Евроремонт,2025-12-05
38lsG,75.0,2,1,Авторский проект,2025-12-05
3YJF0,55.0,2,1,Авторский проект,2025-12-05
3wb5E,65.0,2,1,Евроремонт,2025-12-05
3baPZ,72.0,3,1,Евроремонт,2025-12-05
