card_id,area,number_rooms,furniture,condition,date
3TcoJ,50,2,1,Евроремонт,2025-12-05
4ensa,70,2,1,Авторский проект,2025-12-05
4dRDO,75,3,1,Средний,2025-12-05
4dVX6,40,1,1,Авторский проект,2025-12-01
4efY9,94,3,1,Евроремонт,2025-12-03
4csQV,38,1,0,Средний,2025-12-04
33kop,80,3,1,Евроремонт,2025-12-05
3LzND,57,2,1,Евроремонт,2025-12-05
38vIX,75,3,1,,2025-12-05
4dYPN,30,1,1,Авторский проект,2025-12-05
363OA,90,3,1,Евроремонт,2025-12-05
1EzMg,75,2,1,,2025-12-05
2KWBT,115,4,1,Авторский проект,2025-12-05
363YC,250,4,1,Авторский проект,2025-12-05
3yGYI,105,3,1,Евроремонт,2025-12-05
25JRy,90,3,1,Евроремонт,2025-12-05
4cO9L,75,3,1,Евроремонт,2025-12-04
4bH6L,180,5,1,Евроремонт,2025-12-03
2TA6g,79,3,1,Евроремонт,2025-11-20
1HLFH,90,3,1,Евроремонт,2025-12-05
2B5rO,50,2,1,Авторский проект,2025-12-05
1HMRP,75,2,1,,2025-12-05
4aILv,68,2,1,Евроремонт,2025-12-05
3Dle4,104,3,1,Авторский проект,2025-12-05
4aTAw,71,2,1,Евроремонт,2025-12-05
3DcPa,52,2,1,Евроремонт,2025-12-05
3D02U,107,3,1,Евроремонт,2025-12-05
3DB7p,115,3,1,Авторский проект,2025-12-05
4arYU,57,2,1,Евроремонт,2025-12-05
42O63,140,4,1,Авторский проект,2025-12-05
3q6by,105,3,1,Авторский проект,2025-12-03
4ejm2,2.30,6,1,Авторский проект,2025-12-04
4d7GK,180,5,1,Евроремонт,2025-12-05
4enm2,40,2,1,Авторский проект,2025-12-05
4enlX,40,1,1,Евроремонт,2025-12-05
4dXIi,120,3,0,Евроремонт,2025-12-05
4b5mx,55,2,1,Авторский проект,2025-12-05
3H1it,110,3,1,Авторский проект,2025-12-05
4efxH,90,3,1,Евроремонт,2025-12-05
46w91,68,2,1,Евроремонт,2025-12-05
3MZGx,58,2,1,Евроремонт,2025-12-05
3rBLj,100,3,1,Авторский проект,2025-12-05
3pxFs,30,1,1,Евроремонт,2025-12-05
45iG2,105,3,1,Евроремонт,2025-12-05
484eY,95,3,0,Евроремонт,2025-12-04
35QlT,66,2,1,,2025-12-05
1J2x1,128,3,1,,2025-12-05
4en6U,60,2,1,,2025-12-05
4en5a,60,2,1,,2025-12-05
