card_id,area,number_rooms,furniture,condition,date
4dYMo,72,3,1,Евроремонт,2025-12-05
4dYM2,132,4,1,Евроремонт,2025-12-05
46ASn,65,2,1,Евроремонт,2025-12-05
3IZvt,65,2,1,Авторский проект,2025-12-05
3yqTa,87,2,1,Евроремонт,2025-12-05
3nUEj,104,3,1,Евроремонт,2025-12-05
3giwp,108,3,1,Авторский проект,2025-12-05
4dkV1,125,3,1,Авторский проект,2025-12-05
4dvhC,115,3,1,Авторский проект,2025-12-05
47s54,120,3,1,Авторский проект,2025-12-05
3DuBk,125,3,1,Авторский проект,2025-12-05
3f0Hq,77,2,1,Авторский проект,2025-12-05
4dYEz,68,2,1,Авторский проект,2025-12-05
4dYDX,112,3,1,Евроремонт,2025-12-05
4dA3C,78,2,1,Евроремонт,2025-12-05
4emJ9,55,2,1,,2025-12-05
47s45,50,2,1,Авторский проект,2025-12-05
4encz,100,4,1,Средний,2025-12-05
4dYBr,71,3,1,Евроремонт,2025-12-05
4b9u4,90,3,1,Евроремонт,2025-12-05
4elBf,40,2,0,,2025-12-04
4aN1z,120,3,1,Авторский проект,2025-12-05
4aKqy,120,3,1,Авторский проект,2025-12-03
49XUr,100,3,0,Евроремонт,2025-12-05
3wuRu,87,3,1,Евроремонт,2025-12-05
44pLY,75,3,1,Евроремонт,2025-12-05
44g4V,68,2,1,Авторский проект,2025-12-05
4en9l,60,2,1,Евроремонт,2025-12-05
3VeWW,120,4,1,Авторский проект,2025-12-05
3duk7,110,3,1,Авторский проект,2025-12-05
4duO6,100,3,1,Авторский проект,2025-12-05
2BYDr,110,3,1,Авторский проект,2025-12-05
2HJzd,77,2,1,Авторский проект,2025-12-05
4ddnP,70,2,1,Авторский проект,2025-12-02
3pLTR,78,3,1,Евроремонт,2025-12-04
429Sl,74,2,1,Авторский проект,2025-12-05
3q6sK,125,3,1,Авторский проект,2025-12-05
3qnyk,65,2,1,Авторский проект,2025-12-05
4dzWA,60,2,1,,2025-12-05
3edBV,125,3,1,Авторский проект,2025-12-05
4en7Y,40,2,1,Евроремонт,2025-12-05
2N2Me,105,3,1,Авторский проект,2025-12-05
4deVE,70,2,1,Авторский проект,2025-12-05
3UScc,60,2,1,Евроремонт,2025-12-05
3XcFY,50,2,1,Евроремонт,2025-12-05
4ed1Y,75,2,1,Авторский проект,2025-12-05
4dkJv,50,2,1,Авторский проект,2025-12-04
45TQX,60,2,1,Авторский проект,2025-12-04
3Uuf1,55,2,1,Евроремонт,2025-12-05
3TENH,84,3,1,Евроремонт,2025-12-05
3Zrrb,80,3,1,Евроремонт,2025-12-05
3DPAc,52,2,1,Авторский проект,2025-12-05
4b4dC,120,3,1,Авторский проект,2025-12-05
3CMNE,57,2,1,Евроремонт,2025-12-05
3qGnL,125,3,1,Авторский проект,2025-12-05
3drPp,73,2,1,Авторский проект,2025-12-05
3z49l,140,4,1,Авторский проект,2025-12-05
4dzS0,57,2,1,Евроремонт,2025-12-05
4df2y,180,4,1,Авторский проект,2025-12-03
44H7J,70,2,1,Авторский проект,2025-12-04
44DEN,76,2,1,Авторский проект,2025-12-03
4en42,47,2,1,Евроремонт,2025-12-05
4d7H4,55,2,1,Евроремонт,2025-12-05
3FVtv,75,2,1,Авторский проект,2025-12-05
3VrK2,90,4,1,Евроремонт,2025-12-05
4en14,125,3,1,Евроремонт,2025-12-05
4dvhC,115,3,1,Авторский проект,2025-12-05
3nYke,125,4,1,Авторский проект,2025-12-05
4dYov,76,2,1,,2025-12-05
4emZ5,49,1,1,Евроремонт,2025-12-05
3wk8e,90,4,1,Авторский проект,2025-12-05
3nYke,125,4,1,Авторский проект,2025-12-05
45w3m,150,4,1,Авторский проект,2025-12-05
