card_id,area,number_rooms,furniture,condition,date
4dAmJ,85.0,2,1,Евроремонт,2025-12-05
3smso,125.0,3,1,Авторский проект,2025-12-03
4eiym,250.0,10,1,Евроремонт,2025-12-05
4ddit,150.0,3,1,Авторский проект,2025-12-02
4aVV2,78.0,3,1,Евроремонт,2025-12-05
4dcsX,39.0,2,1,,2025-12-05
4duyh,62.0,2,1,Евроремонт,2025-12-05
4dypF,50.0,2,1,Авторский проект,2025-12-05
3eDwR,144.0,3,1,Авторский проект,2025-12-05
44DO2,70.0,2,1,Авторский проект,2025-12-05
4dysa,90.0,3,1,Авторский проект,2025-12-05
4dcqM,111.0,5,1,Средний,2025-12-05
4dAac,55.0,2,1,Евроремонт,2025-12-05
4dAiA,45.0,2,1,Евроремонт,2025-12-05
4enhJ,55.0,2,1,Средний,2025-12-05
45M8L,120.0,3,1,Авторский проект,2025-12-05
44qiB,115.0,3,1,Авторский проект,2025-12-03
2NpFE,70.0,3,1,Евроремонт,2025-12-05
4dco6,72.0,3,1,Евроремонт,2025-12-05
1XRHl,90.0,3,1,,2025-12-05
2HkqO,65.0,2,1,Евроремонт,2025-12-05
4aX4k,65.0,2,1,Евроремонт,2025-12-05
49Frp,60.0,2,1,Евроремонт,2025-12-05
4enmS,65.0,2,1,Евроремонт,2025-12-05
4ens3,65.0,2,1,Авторский проект,2025-12-05
19ujQ,72.0,2,1,Евроремонт,2025-12-05
3YYHT,70.0,2,1,Евроремонт,2025-12-05
4ddfT,70.0,2,1,Авторский проект,2025-12-02
4edx1,85.0,3,1,Авторский проект,2025-12-02
42WwH,100.0,3,1,Авторский проект,2025-12-04
38eHp,68.0,2,1,,2025-12-05
35RXz,70.0,2,1,Евроремонт,2025-12-05
1VyUg,120.0,3,1,,2025-12-05
3tH40,75.0,3,1,,2025-12-05
1ISmp,250.0,5,1,Евроремонт,2025-12-05
3VeKa,75.0,3,1,Евроремонт,2025-12-05
3afII,52.0,2,1,Евроремонт,2025-12-05
2IHRh,60.0,2,1,Евроремонт,2025-12-05
1HuNJ,90.0,2,1,,2025-12-05
3ajkK,62.0,2,1,Авторский проект,2025-12-05
4ec5x,60.0,2,1,Евроремонт,2025-12-04
4diXB,71.0,3,1,Евроремонт,2025-12-04
4dkWU,250.0,4,1,Авторский проект,2025-12-02
38qit,80.0,2,1,Средний,2025-12-05
13kWS,90.0,2,1,Авторский проект,2025-12-05
1TR8C,150.0,3,1,Авторский проект,2025-12-05
2XVwk,180.0,3,1,,2025-12-05
39PHa,80.0,3,1,Евроремонт,2025-12-05
2ZfBC,180.0,5,1,Евроремонт,2025-12-05
2LpcW,80.0,2,1,Авторский проект,2025-12-05
1I609,60.0,2,1,Авторский проект,2025-12-05
4cTfP,150.0,4,1,Авторский проект,2025-12-05
4d1sq,168.0,4,1,Авторский проект,2025-12-05
48lfg,280.0,5,1,Авторский проект,2025-12-05
4dfSm,75.0,3,1,Авторский проект,2025-12-03
43GuH,65.0,3,1,Авторский проект,2025-12-02
1HnNT,120.0,3,1,,2025-12-05
2Znn7,68.0,2,1,Евроремонт,2025-12-05
2AU1D,65.0,2,1,Евроремонт,2025-12-05
4enpR,85.0,3,1,Авторский проект,2025-12-05
31oMx,130.0,3,1,Авторский проект,2025-12-05
4dYNI,45.0,2,1,Евроремонт,2025-12-05
3CNPR,60.0,2,1,Авторский проект,2025-12-05
3R79E,52.0,2,1,Евроремонт,2025-12-05
4ejIF,70.0,4,1,,2025-12-05
3DS83,63.0,2,1,Авторский проект,2025-12-05
4deV5,110.0,3,1,Авторский проект,2025-12-03
4dgLv,110.0,3,1,Авторский проект,2025-12-03
4deJU,65.0,2,1,Евроремонт,2025-12-04
3EdlZ,65.0,2,1,Евроремонт,2025-12-05
3EyU0,64.0,2,1,Авторский проект,2025-12-05
4dYLa,52.0,2,1,Евроремонт,2025-12-05
4dYJv,53.0,2,1,Авторский проект,2025-12-05
3pxu9,57.0,2,1,,2025-12-05
39hZE,60.0,2,1,,2025-12-05
3KcXk,47.0,2,1,Евроремонт,2025-12-05
3V46q,130.0,4,1,Авторский проект,2025-12-05
3leBu,64.0,2,1,Авторский проект,2025-12-05
3jHoC,60.0,2,1,Евроремонт,2025-12-05
4eeU3,110.0,3,1,Евроремонт,2025-12-04
4dp9w,280.0,5,1,Авторский проект,2025-12-04
43418,65.0,2,1,Авторский проект,2025-12-05
4en8S,60.0,2,1,Авторский проект,2025-12-05
3LviE,67.0,2,1,Евроремонт,2025-12-05
3LJek,63.0,2,1,Евроремонт,2025-12-05
3IZdz,85.0,2,1,Евроремонт,2025-12-05
2ImNo,63.0,2,1,Евроремонт,2025-12-05
1GoCH,46.0,2,1,Авторский проект,2025-12-05
3TuLW,60.0,3,1,Авторский проект,2025-12-05
2ax9V,60.0,2,1,,2025-12-05
45Md4,105.0,3,1,Авторский проект,2025-12-05
4emYh,60.0,2,1,,2025-12-05
4dwvf,37.0,1,1,Евроремонт,2025-11-19
