card_id,area,number_rooms,furniture,condition,date
4em4c,33,1,1,,2025-12-04
4aRUZ,180,5,1,Евроремонт,2025-12-05
4env5,60,2,1,Евроремонт,2025-12-05
4dAjs,40,1,1,Евроремонт,2025-12-05
4dAj9,72,2,1,Евроремонт,2025-12-05
4enrI,53,2,1,Евроремонт,2025-12-05
44AaO,60,2,1,Авторский проект,2025-12-05
4ejUh,65,2,0,Средний,2025-12-05
4enuw,90,2,1,Авторский проект,2025-12-05
4enq1,1,2,0,,2025-12-05
4dAhF,55,2,1,Евроремонт,2025-12-05
4a48O,60,2,1,Евроремонт,2025-12-05
4cTPI,73,3,1,Евроремонт,2025-11-28
4em4Q,80,3,1,Евроремонт,2025-12-04
4eb0e,55,2,1,Евроремонт,2025-12-05
2r3sv,65,3,1,Евроремонт,2025-12-05
4enoX,79,2,1,Евроремонт,2025-12-05
4dAgJ,72,3,1,Евроремонт,2025-12-05
2c8Tf,125,4,1,Авторский проект,2025-12-05
4dcnS,40,2,1,Евроремонт,2025-12-05
4csfD,60,2,1,Евроремонт,2025-12-05
4enlS,60,2,1,Евроремонт,2025-12-05
1SuhW,60,2,1,Евроремонт,2025-12-05
392Em,80,3,1,,2025-12-05
3LgrN,60,3,1,Евроремонт,2025-12-05
45BpC,62,2,1,Авторский проект,2025-12-04
3gy7k,38,1,1,Авторский проект,2025-11-29
4elwh,80,3,1,Евроремонт,2025-12-04
12XEa,100,3,1,Авторский проект,2025-12-05
1I6kl,60,2,1,,2025-12-05
1GMfr,90,3,1,Евроремонт,2025-12-05
2Hkpn,50,2,1,Евроремонт,2025-12-05
11cT6,120,3,1,Авторский проект,2025-12-05
1D14s,90,2,1,Авторский проект,2025-12-05
1HMSN,65,2,1,,2025-12-05
2Xgwf,65,2,1,Евроремонт,2025-12-05
315Ie,250,5,1,Евроремонт,2025-12-05
3KqkJ,60,2,1,,2025-12-05
4em5P,140,4,1,Евроремонт,2025-12-04
4atpZ,70,3,1,Средний,2025-11-11
3QZRF,88,2,1,Евроремонт,2025-12-03
42KC6,60,2,1,,2025-12-05
4enmA,55,2,1,Евроремонт,2025-12-05
4enlq,55,2,1,Авторский проект,2025-12-05
4dYK7,65,2,1,Евроремонт,2025-12-05
4enlG,75,3,1,Евроремонт,2025-12-05
4apoV,46,1,1,Евроремонт,2025-12-05
3rF0b,111,4,1,,2025-12-05
3q89G,110,3,1,Евроремонт,2025-12-05
3FE8h,80,3,1,Авторский проект,2025-12-05
4en7V,60,2,1,,2025-12-05
33i8f,70,2,1,,2025-12-05
3e4zj,67,2,1,Авторский проект,2025-12-05
4en4E,52,2,1,Средний,2025-12-05
3zCE0,31,1,1,Евроремонт,2025-12-05
4dA7M,75,3,1,Евроремонт,2025-12-05
4enjT,60,2,1,Евроремонт,2025-12-05
4en1r,90,3,1,,2025-12-05
4enja,70,2,1,Евроремонт,2025-12-05
4emTW,60,2,1,,2025-12-05
4dYFp,55,2,1,Евроремонт,2025-12-05
4enh5,60,2,1,Евроремонт,2025-12-05
4emKi,60,2,1,Евроремонт,2025-12-05
4enfB,79,2,1,Евроремонт,2025-12-05
4enfA,60,2,1,Евроремонт,2025-12-05
4ene3,120,3,1,Евроремонт,2025-12-05
4enb3,55,2,1,Евроремонт,2025-12-05
3Vsax,40,1,1,Евроремонт,2025-12-05
3Co7m,60,2,1,Евроремонт,2025-12-05
44iYL,70,3,1,Авторский проект,2025-12-05
4dvme,63,2,1,Евроремонт,2025-12-05
2VDPE,100,4,1,,2025-12-05
4dvny,72,2,1,Авторский проект,2025-12-05
497Ra,120,3,1,Евроремонт,2025-12-05
3G2vV,70,2,1,Авторский проект,2025-12-05
4ee6W,55,2,1,Евроремонт,2025-12-05
4elQ2,55,2,1,Евроремонт,2025-12-05
3Nqns,100,4,1,,2025-12-05
3HChl,70,3,1,,2025-12-05
4en6C,86,3,1,Средний,2025-12-05
3LpWI,68,3,1,,2025-12-05
3xTrA,60,2,1,,2025-12-05
3GF3F,75,3,1,,2025-12-05
3SMKZ,80,3,1,,2025-12-05
3DOEp,43,1,1,,2025-12-05
3TvqK,70,2,1,,2025-12-05
3WVQn,55,2,1,Евроремонт,2025-12-05
