card_id,area,number_rooms,furniture,condition,date
4dzw3,30,1,1,Средний,2025-12-05
41kK2,55,2,1,Евроремонт,2025-12-05
3LTah,88 888,2,1,,2025-12-05
4aQeg,90,3,1,Евроремонт,2025-12-05
4emB7,49,2,1,Авторский проект,2025-12-05
4d1SN,50,1,1,Евроремонт,2025-12-05
48MrN,97,3,1,,2025-12-05
4c2tl,55,2,1,Евроремонт,2025-12-04
4emgT,70,3,1,Авторский проект,2025-12-05
49DHt,70,3,1,Евроремонт,2025-12-05
43noE,38,2,1,Евроремонт,2025-12-05
4cFas,52,2,1,Евроремонт,2025-12-05
40qnE,75,3,1,Авторский проект,2025-12-05
40qva,75,3,1,Евроремонт,2025-12-05
47NWb,54,3,1,,2025-12-05
3ZSGx,60,3,1,Евроремонт,2025-12-05
4elZn,100,3,1,Авторский проект,2025-12-05
3Zoii,60,2,1,Евроремонт,2025-12-05
4dPGu,60,2,1,Евроремонт,2025-12-02
4d1SN,50,1,1,Евроремонт,2025-12-05
3SQbz,65,2,1,Евроремонт,2025-12-05
3S6Di,65,2,1,Евроремонт,2025-12-05
4e6A2,70,3,1,Средний,2025-12-05
4elU7,45,2,1,Средний,2025-12-05
3xakF,10,3,1,Средний,2025-12-05
4emkY,80,3,0,Авторский проект,2025-12-05
4emrW,60,2,1,Евроремонт,2025-12-05
4emiX,57,3,1,Евроремонт,2025-12-05
4ej49,48,2,1,Средний,2025-12-05
4emnD,80,4,1,Евроремонт,2025-12-04
49xZy,70,2,1,Евроремонт,2025-12-04
3I84D,37,2,1,Евроремонт,2025-12-04
4egzC,68,2,1,Евроремонт,2025-12-04
4dbfS,54,3,1,Евроремонт,2025-12-04
4emim,59,2,1,Средний,2025-12-04
45DMb,60,3,1,Евроремонт,2025-12-04
45DKX,42,2,1,Евроремонт,2025-12-04
4db8p,28,1,1,Евроремонт,2025-12-04
4elGU,35,1,1,Авторский проект,2025-12-04
3SpAJ,41,1,1,Средний,2025-12-04
3Tutl,65,3,1,Средний,2025-12-04
3SpLc,56,2,1,Евроремонт,2025-12-04
4dXwL,40,1,1,Евроремонт,2025-12-04
49m18,55,2,1,Средний,2025-12-04
4elXN,60,2,1,Средний,2025-12-04
3zvan,79,3,1,Евроремонт,2025-12-04
45oYZ,65,2,1,Средний,2025-12-04
4daI7,100,3,1,Евроремонт,2025-12-04
4dXaf,65,3,1,Авторский проект,2025-12-04
4daGk,55,2,1,Авторский проект,2025-12-04
4dX7G,50,2,1,,2025-12-04
4daDi,38,1,1,Евроремонт,2025-12-04
3tqed,54,2,1,,2025-12-04
3R3yO,65,2,1,Евроремонт,2025-12-04
47JE4,110,5,1,Евроремонт,2025-12-04
3UQz8,52,2,1,Евроремонт,2025-12-04
3FPv7,42,2,1,Авторский проект,2025-12-04
4el9m,60,2,1,,2025-12-04
490ii,41,1,1,,2025-12-04
4elpP,100,4,1,Средний,2025-12-04
4elpJ,30,1,1,Евроремонт,2025-12-04
3XGBd,71,3,1,Евроремонт,2025-12-04
4elo8,76,3,1,Евроремонт,2025-12-04
4dYgN,56,2,1,Евроремонт,2025-12-04
47gmv,50,2,1,Евроремонт,2025-12-04
4el6F,97,3,1,Евроремонт,2025-12-04
4el4V,82,3,1,Средний,2025-12-04
4dVHx,42,2,1,Евроремонт,2025-12-04
4dafC,28,1,1,Евроремонт,2025-12-04
4daaU,40,1,1,Евроремонт,2025-12-04
45Umw,200,4,1,Евроремонт,2025-12-04
4daa2,35,1,1,Евроремонт,2025-12-04
4el90,60,2,1,Евроремонт,2025-12-04
4dVyv,65,3,1,Евроремонт,2025-12-04
4el72,65,3,1,Евроремонт,2025-12-04
4aKgr,50,2,1,Евроремонт,2025-12-04
4dYnQ,30,1,1,Евроремонт,2025-12-04
4cFh7,55,2,1,Евроремонт,2025-12-04
3x0rs,23,1,1,,2025-12-04
2Zmvq,103,3,1,Авторский проект,2025-12-04
3Q0H3,45,1,1,Евроремонт,2025-12-04
48SfO,40,1,1,,2025-12-04
4el2s,105,4,1,,2025-12-04
4el2H,72,3,1,Евроремонт,2025-12-04
4dVsU,55,2,1,Евроремонт,2025-12-04
4dVrW,60,2,1,Средний,2025-12-04
4dxTu,63,2,1,Евроремонт,2025-12-04
4eiyf,65,1,1,Авторский проект,2025-12-04
3GGjO,52,3,1,Авторский проект,2025-12-04
3GWHS,100,4,1,Евроремонт,2025-12-04
3NwR9,30,1,0,,2025-12-04
3B6KR,46,2,0,,2025-12-04
4ekXx,51,2,1,Евроремонт,2025-12-04
4ekXh,60,2,1,Евроремонт,2025-12-04
3LCdx,56,2,1,,2025-12-04
3nZLG,46,3,0,,2025-12-04
4ekqw,75,1,1,Средний,2025-12-04
48kVf,25,2,0,,2025-12-04
3XCgU,30,2,0,,2025-12-04
4bhSc,44,2,0,,2025-12-04
4bOlc,92,3,1,Авторский проект,2025-12-04
3wju8,54,2,1,Евроремонт,2025-12-04
3vwWj,70,3,1,Евроремонт,2025-12-04
3yVxa,50,2,1,Евроремонт,2025-12-04
2Tn9u,53,2,1,Евроремонт,2025-12-04
4ekR6,50,2,1,Средний,2025-12-04
4ekQi,60,2,1,Евроремонт,2025-12-04
4ekOF,60,2,1,Евроремонт,2025-12-04
4d9O6,30,1,1,Евроремонт,2025-12-04
4dxEj,60,2,0,Евроремонт,2025-12-04
4dV9U,65,3,1,Евроремонт,2025-12-04
4dxCZ,40,2,1,Средний,2025-12-04
4ekJs,59,2,1,Евроремонт,2025-12-04
4c2tl,55,2,1,Евроремонт,2025-12-04
4dxxO,55,2,1,,2025-12-04
4dxxD,55,2,1,,2025-12-04
4ekp6,60,2,1,,2025-12-04
4dxv9,50,2,1,Евроремонт,2025-12-04
4dxuM,70,3,1,Евроремонт,2025-12-04
1D2Jk,67,2,1,Евроремонт,2025-12-04
4d9DO,110,4,1,Евроремонт,2025-12-04
4dxt6,55,2,1,,2025-12-04
4dxsJ,77,3,0,Средний,2025-12-04
4e2p6,56,2,1,Евроремонт,2025-12-04
4dWYh,50,2,1,Евроремонт,2025-12-04
4ekzS,60,3,1,Евроремонт,2025-12-04
4ekr7,30,1,1,Евроремонт,2025-12-04
4ekyH,55,3,1,Евроремонт,2025-12-04
41Rq9,65,2,1,Евроремонт,2025-12-04
4egqT,31,1,1,,2025-12-04
43QIa,50,2,1,,2025-12-04
477O9,80,3,1,,2025-12-04
458ZX,75,3,1,,2025-12-04
442yi,56,2,1,,2025-12-04
4dWTn,55,2,1,Авторский проект,2025-12-04
4eksr,74,2,1,Евроремонт,2025-12-04
4ekta,38,1,1,Евроремонт,2025-12-04
4ekp7,30,1,1,Средний,2025-12-04
454NI,44,2,1,Средний,2025-12-04
4ekhO,60,2,1,Евроремонт,2025-12-04
4ekf6,18,1,1,Средний,2025-12-04
3v6bJ,47,1,1,Евроремонт,2025-12-04
4ekhP,50,2,1,Евроремонт,2025-12-04
4ekgg,60,2,1,,2025-12-04
33S9H,131,3,1,Евроремонт,2025-12-04
400fy,120,4,1,Евроремонт,2025-12-04
4ekdR,40,1,1,,2025-12-04
4ekeT,48,2,1,Средний,2025-12-04
